"Text","Audit","ReqImage"
"Sprawdzenie zamków magnetycznych, domykaczy oraz zwalniaczy drzwi.","WH3",
"Klimatyzacja – sprawdzenie jednostek chłodniczych (wycieki, działanie, ew błędy).","WH3",
"Czystość w pomieszczeniu serwerowni (brak luźnych elementów).","WH3",
"Ochrona ppoż – sprawdzenie czy nie wyświetlają się alarmy na centrali systemu gaszenia.","WH3",
"Sprawdzenie wizualne urządzeń w szafach rack (diody ostrzegawcze, switche, serwery, UPS).","WH3",
"Sprawdzenie zamków szaf Rack – czy wszystkie są zamknięte?","WH3",
"Sprawdzenie zamków magnetycznych, domykaczy oraz zwalniaczy drzwi.","CORE02",
"Klimatyzacja – sprawdzenie jednostek chłodniczych (wycieki, działanie, ew błędy).","CORE02",
"Czystość w pomieszczeniu serwerowni (brak luźnych elementów).","CORE02",
"Ochrona ppoż – sprawdzenie czy nie wyświetlają się alarmy na centrali systemu gaszenia.","CORE02",
"Sprawdzenie wizualne urządzeń w szafach rack (diody ostrzegawcze, switche, serwery, UPS).","CORE02",
"Sprawdzenie zamków szaf Rack – czy wszystkie są zamknięte?","CORE02",
"Sprawdzenie zamków magnetycznych, domykaczy oraz zwalniaczy drzwi.","CORE01",
"Klimatyzacja – sprawdzenie jednostek chłodniczych (wycieki, działanie, ew błędy).","CORE01",
"Czystość w pomieszczeniu serwerowni (brak luźnych elementów).","CORE01",
"Ochrona ppoż – sprawdzenie czy nie wyświetlają się alarmy na centrali systemu gaszenia.","CORE01",
"Sprawdzenie wizualne urządzeń w szafach rack (diody ostrzegawcze, switche, serwery, UPS).","CORE01",
"Sprawdzenie zamków szaf Rack – czy wszystkie są zamknięte?","CORE01",
"Sprawdzenie zamków magnetycznych, domykaczy oraz zwalniaczy drzwi.",,
"Klimatyzacja – sprawdzenie jednostek chłodniczych (wycieki, działanie, ew błędy).",,
"Czystość w pomieszczeniu serwerowni (brak luźnych elementów).",,
"Ochrona ppoż – sprawdzenie czy nie wyświetlają się alarmy na centrali systemu gaszenia.",,
"Sprawdzenie wizualne urządzeń w szafach rack (diody ostrzegawcze, switche, serwery, UPS).",,
"Sprawdzenie zamków szaf Rack – czy wszystkie są zamknięte?",,
"Sprawdzenie zamków magnetycznych, domykaczy oraz zwalniaczy drzwi.","OFFICE01",
"Klimatyzacja – sprawdzenie jednostek chłodniczych (wycieki, działanie, ew błędy).","OFFICE01",
"Czystość w pomieszczeniu serwerowni (brak luźnych elementów).","OFFICE01",
"Ochrona ppoż – sprawdzenie czy nie wyświetlają się alarmy na centrali systemu gaszenia.","OFFICE01",
"Sprawdzenie wizualne urządzeń w szafach rack (diody ostrzegawcze, switche, serwery, UPS).","OFFICE01",
"Sprawdzenie zamków szaf Rack – czy wszystkie są zamknięte?","OFFICE01",
"test",,
"test",,
