"Inspection","Requirement","IsMet","Comment","ResultImage"
,,"True",,
,,"Fałsz","Komentarz testowy do audytu dla WH3","Reserved_ImageAttachment_[11]_[ResultImage][32]_[d86cba7ac7d6407cb454f47f387784f0][1]_[1].png"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"Fałsz","fewfwaf","Reserved_ImageAttachment_[11]_[ResultImage][32]_[efedde38b5734434bdcc4b640b8e60ca][1]_[1].png"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"Fałsz","TEst komentarz","Reserved_ImageAttachment_[11]_[ResultImage][32]_[0d845d36e06f4108b738c26c8a3d2d4b][1]_[1].png"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"Fałsz","TEst komentarz","Reserved_ImageAttachment_[11]_[ResultImage][32]_[3cd9afe3de41452f91bca370b4ae9821][1]_[1].png"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"Fałsz","Test","Reserved_ImageAttachment_[11]_[ResultImage][32]_[e43739f12076419c86acb3119c571d7f][1]_[1].png"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"Fałsz","vnbvc","Reserved_ImageAttachment_[11]_[ResultImage][32]_[011d53e5a05e49cabc13ff4179d60c71][1]_[1].jpeg"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"Fałsz","Lipa","Reserved_ImageAttachment_[11]_[ResultImage][32]_[3d81a764c839411686e631e495874478][1]_[1].jpeg"
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,,"True",,
,"13","True",,
,"14","True",,
,"15","Fałsz","Odkurzenie + umycie podłogi","Reserved_ImageAttachment_[11]_[ResultImage][32]_[7f72fecf119d43809200b0b8c6a18d09][1]_[1].png"
,"16","True",,
,"17","True",,
,"18","True",,
,"25","True",,
,"26","True",,
,"27","Fałsz","Brudna podloga.","Reserved_ImageAttachment_[11]_[ResultImage][32]_[d9b760483a1841d68a4425c7786d7fa1][1]_[1].jpeg"
,"28","True",,
,"29","True",,
,"30","True",,
,"13","True",,
,"14","True",,
,"15","Fałsz","Brudna podloga","Reserved_ImageAttachment_[11]_[ResultImage][32]_[817023ee918d417b86868a2169789ade][1]_[1].jpeg"
,"16","True",,
,"17","True",,
,"18","True",,
,"25","True",,
,"26","True",,
,"27","True",,
,"28","True",,
,"29","True",,
,"30","True",,
,"37","Fałsz","mans",
,"38","True",,
,"39","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[55d1002785e7446db78655bd5279d04d][1]_[1].png"
,"40","True",,
,"41","True",,
,"42","True",,
,"37","True",,
,"38","True",,
,"39","Fałsz","Brudna podłoga","Reserved_ImageAttachment_[11]_[ResultImage][32]_[5f29859975284f05a2e294745d2259d6][1]_[1].jpeg"
,"40","True",,
,"41","True",,
,"42","True",,
,"25","True",,
,"26","True",,
,"27","Fałsz","resffa","Reserved_ImageAttachment_[11]_[ResultImage][32]_[4b395068eb3040bbb86712b595b47d0f][1]_[1].png"
,"28","True",,
,"29","True",,
,"30","Fałsz","sfasaf","Reserved_ImageAttachment_[11]_[ResultImage][32]_[61d45dc6f8724fbebf06ffcec544a869][1]_[1].jpeg"
,"37","Fałsz","fwdsc","Reserved_ImageAttachment_[11]_[ResultImage][32]_[d28919adf5fa4dffb4f615e10c07cefd][1]_[1].jpeg"
,"38","Fałsz","fwrf","Reserved_ImageAttachment_[11]_[ResultImage][32]_[028ee78c0e504be1a5a83e22b51f8082][1]_[1].jpeg"
,"39","Fałsz","decwr","Reserved_ImageAttachment_[11]_[ResultImage][32]_[947f95e05ec546c0999a7d409b25c568][1]_[1].jpeg"
,"40","Fałsz","frveg","Reserved_ImageAttachment_[11]_[ResultImage][32]_[d0dcf40cadda48f9897a8af0e0955e69][1]_[1].jpeg"
,"41","Fałsz","frefe","Reserved_ImageAttachment_[11]_[ResultImage][32]_[255cc4c699f94a5c8f2d3cd08ce695f4][1]_[1].jpeg"
,"42","Fałsz","gregtewg","Reserved_ImageAttachment_[11]_[ResultImage][32]_[5ff465ba232e49069723917807064771][1]_[1].jpeg"
"35","43","Fałsz","eqeqwe","Reserved_ImageAttachment_[11]_[ResultImage][32]_[9d782f6a61e54bc9a4f3c6942048c340][1]_[1].png"
"35","44","Fałsz","rwereq","Reserved_ImageAttachment_[11]_[ResultImage][32]_[045947a67e0f41959fef163374f6e398][1]_[1].png"
"36","43","Fałsz","fwfwr","Reserved_ImageAttachment_[11]_[ResultImage][32]_[e9aa267bbd984f5d86a7a222d722699a][1]_[1].jpeg"
"36","44","Fałsz","frewf","Reserved_ImageAttachment_[11]_[ResultImage][32]_[2632a4701959483ca4701784db9bf4a4][1]_[1].jpeg"
,"37","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[0fcdf04339314b68bdcbb097a365045a][1]_[1].jpeg"
,"38","True",,
,"39","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[cf95601be3bd4463a54caf903f95a146][1]_[1].jpeg"
,"40","True",,
,"41","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[49bc5f5aac714656b658ceb7be56a98c][1]_[1].jpeg"
